TC-ID,軸,REQ-ID,前提の状態,操作,期待する結果,判定のしかた,自動か手動か,実測,証跡,判定
TC-0369,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「再読込」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0370,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「直リンクで途中から入る」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0371,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「二重タップ」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,busy / trying / submitting で二重実行を防ぐ,読解: StartClient.tsx onStart・GateSheet.tsx onTry・DeleteAccountModal.tsx,読解
TC-0372,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「連打」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,busy / trying / submitting で二重実行を防ぐ,読解: StartClient.tsx onStart・GateSheet.tsx onTry・DeleteAccountModal.tsx,読解
TC-0373,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「送信中に戻る」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0374,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「通信を切る」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0375,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「機内モード」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0376,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「電話や別アプリで中断」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0377,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「バックグラウンドから復帰」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0378,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「画面回転」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0379,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「横画面」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0380,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「タブを閉じる」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0381,D 遷移と中断,"REQ-040..048,060,062,081",動線=オンボ SCR-02b / 11d,途中で「長時間放置してから続ける」,下書きが残り、再読込で同じ画面から。二重送信で User が壊れない,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0382,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「戻る」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0383,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「進む」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0384,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「再読込」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0385,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「直リンクで途中から入る」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0386,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「二重タップ」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,busy / trying / submitting で二重実行を防ぐ,読解: StartClient.tsx onStart・GateSheet.tsx onTry・DeleteAccountModal.tsx,読解
TC-0387,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「連打」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,busy / trying / submitting で二重実行を防ぐ,読解: StartClient.tsx onStart・GateSheet.tsx onTry・DeleteAccountModal.tsx,読解
TC-0388,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「送信中に戻る」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0389,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「通信を切る」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0390,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「機内モード」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0391,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「電話や別アプリで中断」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0392,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「バックグラウンドから復帰」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0393,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「画面回転」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0394,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「横画面」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0395,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「タブを閉じる」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0396,D 遷移と中断,"REQ-040..048,060,062,081",動線=退会,途中で「長時間放置してから続ける」,submitting 中は閉じられない。二重クリックは 30 秒以内 success 扱い,playwright (通信断は route.abort) / 読解,半自動,殻・実機・Apple の OAuth が要る,人へ: 実機で該当の中断を起こす,人へ
TC-0397,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: 他人の曲ページ /<他人uuid>/scores/<id>,/guest/... か /login へ,curl (cookie 差し替え) / playwright / 読解,半自動,middleware / layout が /guest か /login へ (既存),"読解: middleware.ts, [userId]/layout.tsx",読解
TC-0398,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: 録音のアップロード getSignedUploadUrl,未認証エラー,curl (cookie 差し替え) / playwright / 読解,半自動,middleware / layout が /guest か /login へ (既存),"読解: middleware.ts, [userId]/layout.tsx",読解
TC-0399,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: POST /api/apple/verify,401,curl (cookie 差し替え) / playwright / 読解,半自動,401,evidence/api_round.json,合格
TC-0400,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: POST /api/apple/restore,401,curl (cookie 差し替え) / playwright / 読解,半自動,401,evidence/api_round.json,合格
TC-0401,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0402,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: GET /api/plan/usage,401,curl (cookie 差し替え) / playwright / 読解,半自動,401,evidence/api_round.json,合格
TC-0403,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: /onboarding,/login へ,curl (cookie 差し替え) / playwright / 読解,半自動,middleware / layout が /guest か /login へ (既存),"読解: middleware.ts, [userId]/layout.tsx",読解
TC-0404,E 権限と所有,"REQ-013,024,025,034,037,062",役割=未ログイン,資源: 退会 requestAccountDeletion,認証されていません,curl (cookie 差し替え) / playwright / 読解,半自動,middleware / layout が /guest か /login へ (既存),"読解: middleware.ts, [userId]/layout.tsx",読解
TC-0405,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: 他人の曲ページ /<他人uuid>/scores/<id>,/guest/scores/<id> へ redirect (自分の uuid 以外は不可),curl (cookie 差し替え) / playwright / 読解,半自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 登録なしで 1 回ためす アカウントがある人はログイン できること 録音して採点 ,screens/anon_own_settings_direct.png (本人 uuid の settings でも /guest へ),合格
TC-0406,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: 録音のアップロード getSignedUploadUrl,1 回まで。2 回目は allowed false で拒否,curl (cookie 差し替え) / playwright / 読解,半自動,匿名でも認証は通る。契約が付く経路は Cron の安全網で保護 (CR-1-17),読解,読解
TC-0407,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: POST /api/apple/verify,認証は通る (匿名) → tx の appAccountToken が自分の UUID なら反映 ★匿名のまま契約が付く経路が無いか確認,curl (cookie 差し替え) / playwright / 読解,半自動,匿名でも認証は通る。契約が付く経路は Cron の安全網で保護 (CR-1-17),読解,読解
TC-0408,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: POST /api/apple/restore,同上,curl (cookie 差し替え) / playwright / 読解,半自動,匿名でも認証は通る。契約が付く経路は Cron の安全網で保護 (CR-1-17),読解,読解
TC-0409,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0410,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: GET /api/plan/usage,isGuest true,curl (cookie 差し替え) / playwright / 読解,半自動,"{""plan"": ""free"", ""unlimited"": false, ""isTrial"": false, ""needsSubscription"": false, ""isGuest"": true, ""allowed"": true, ""practiceAllowed"": false, ""limit"": 1, ""secondsLimit"": 600, ""practiceLimit"": 5, ""guestLastScore"": null}",evidence/quota_require_false.json guest,合格
TC-0411,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: /onboarding,layout が /guest へ (出さない),curl (cookie 差し替え) / playwright / 読解,半自動,http://localhost:3101/guest,evidence/r2fix/anon_onboarding_direct.png (修正後),合格
TC-0412,E 権限と所有,"REQ-013,024,025,034,037,062",役割=ゲスト匿名 (role guest),資源: 退会 requestAccountDeletion,email 無し → 「認証されていません」,curl (cookie 差し替え) / playwright / 読解,半自動,匿名でも認証は通る。契約が付く経路は Cron の安全網で保護 (CR-1-17),読解,読解
TC-0413,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: 他人の曲ページ /<他人uuid>/scores/<id>,自分の URL へ付け替え (既存 layout),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0414,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: 録音のアップロード getSignedUploadUrl,状態どおり (契約中/無料期間中は可、期限切れ/返金後/契約なしは needsSubscription で拒否 ※REQUIRE_SUBSCRIPTION),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0415,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: POST /api/apple/verify,本人の UUID に結ぶ。token 不一致 403,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0416,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: POST /api/apple/restore,本人に結ぶ／conflict,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0417,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0418,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: GET /api/plan/usage,状態どおりの quota,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0419,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: /onboarding,未完了なら出る。完了済みは / へ,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0420,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約なしアカウント,資源: 退会 requestAccountDeletion,本人確認 (パスワード or 退会),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0421,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: 他人の曲ページ /<他人uuid>/scores/<id>,自分の URL へ付け替え (既存 layout),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0422,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: 録音のアップロード getSignedUploadUrl,状態どおり (契約中/無料期間中は可、期限切れ/返金後/契約なしは needsSubscription で拒否 ※REQUIRE_SUBSCRIPTION),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0423,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: POST /api/apple/verify,本人の UUID に結ぶ。token 不一致 403,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0424,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: POST /api/apple/restore,本人に結ぶ／conflict,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0425,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0426,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: GET /api/plan/usage,状態どおりの quota,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0427,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: /onboarding,未完了なら出る。完了済みは / へ,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0428,E 権限と所有,"REQ-013,024,025,034,037,062",役割=無料期間中,資源: 退会 requestAccountDeletion,本人確認 (パスワード or 退会),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0429,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: 他人の曲ページ /<他人uuid>/scores/<id>,自分の URL へ付け替え (既存 layout),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0430,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: 録音のアップロード getSignedUploadUrl,状態どおり (契約中/無料期間中は可、期限切れ/返金後/契約なしは needsSubscription で拒否 ※REQUIRE_SUBSCRIPTION),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0431,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: POST /api/apple/verify,本人の UUID に結ぶ。token 不一致 403,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0432,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: POST /api/apple/restore,本人に結ぶ／conflict,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0433,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0434,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: GET /api/plan/usage,状態どおりの quota,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0435,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: /onboarding,未完了なら出る。完了済みは / へ,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0436,E 権限と所有,"REQ-013,024,025,034,037,062",役割=契約中,資源: 退会 requestAccountDeletion,本人確認 (パスワード or 退会),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0437,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: 他人の曲ページ /<他人uuid>/scores/<id>,自分の URL へ付け替え (既存 layout),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0438,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: 録音のアップロード getSignedUploadUrl,状態どおり (契約中/無料期間中は可、期限切れ/返金後/契約なしは needsSubscription で拒否 ※REQUIRE_SUBSCRIPTION),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0439,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: POST /api/apple/verify,本人の UUID に結ぶ。token 不一致 403,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0440,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: POST /api/apple/restore,本人に結ぶ／conflict,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0441,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0442,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: GET /api/plan/usage,状態どおりの quota,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0443,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: /onboarding,未完了なら出る。完了済みは / へ,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0444,E 権限と所有,"REQ-013,024,025,034,037,062",役割=期限切れ,資源: 退会 requestAccountDeletion,本人確認 (パスワード or 退会),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0445,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: 他人の曲ページ /<他人uuid>/scores/<id>,自分の URL へ付け替え (既存 layout),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0446,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: 録音のアップロード getSignedUploadUrl,状態どおり (契約中/無料期間中は可、期限切れ/返金後/契約なしは needsSubscription で拒否 ※REQUIRE_SUBSCRIPTION),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0447,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: POST /api/apple/verify,本人の UUID に結ぶ。token 不一致 403,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0448,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: POST /api/apple/restore,本人に結ぶ／conflict,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0449,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0450,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: GET /api/plan/usage,状態どおりの quota,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0451,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: /onboarding,未完了なら出る。完了済みは / へ,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0452,E 権限と所有,"REQ-013,024,025,034,037,062",役割=返金後,資源: 退会 requestAccountDeletion,本人確認 (パスワード or 退会),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0453,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: 他人の曲ページ /<他人uuid>/scores/<id>,自分の URL へ付け替え (既存 layout),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0454,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: 録音のアップロード getSignedUploadUrl,状態どおり (契約中/無料期間中は可、期限切れ/返金後/契約なしは needsSubscription で拒否 ※REQUIRE_SUBSCRIPTION),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0455,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: POST /api/apple/verify,本人の UUID に結ぶ。token 不一致 403,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0456,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: POST /api/apple/restore,本人に結ぶ／conflict,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0457,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: GET /api/cron/guest-cleanup,Bearer 無しは誰でも 401。役割で変わらない,curl (cookie 差し替え) / playwright / 読解,半自動,401 / 401,evidence/api_round.json,合格
TC-0458,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: GET /api/plan/usage,状態どおりの quota,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0459,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: /onboarding,未完了なら出る。完了済みは / へ,curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0460,E 権限と所有,"REQ-013,024,025,034,037,062",役割=管理者,資源: 退会 requestAccountDeletion,本人確認 (パスワード or 退会),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0461,E 権限と所有,"REQ-013,024,025,034,037,062",役割=先生,資源: 他人の曲ページ /<他人uuid>/scores/<id>,自分の URL へ付け替え (既存 layout),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
TC-0462,E 権限と所有,"REQ-013,024,025,034,037,062",役割=先生,資源: 録音のアップロード getSignedUploadUrl,状態どおり (契約中/無料期間中は可、期限切れ/返金後/契約なしは needsSubscription で拒否 ※REQUIRE_SUBSCRIPTION),curl (cookie 差し替え) / playwright / 読解,半自動,状態どおり (quota / layout)。verify/restore は route 単体,"evidence/quota_require_*.json, vitest",読解
